accuracy	0.852009	0.848182	0.848820	0.855199	0.857538	0.855199	0.855837	0.847331	0.850521	0.857325	0.858176	0.846906	0.858814	0.852222	0.847544	0.865618	0.852009	0.855837	0.850096	0.858176
recall	0.616532	0.593966	0.623400	0.604593	0.659060	0.661049	0.637005	0.636038	0.613972	0.652228	0.629695	0.604440	0.664952	0.647570	0.653885	0.627374	0.641981	0.610363	0.626076	0.643822
precision	0.757846	0.784450	0.766649	0.775487	0.767160	0.752730	0.767623	0.753736	0.755427	0.769015	0.754429	0.757339	0.757965	0.755358	0.750755	0.777626	0.767452	0.751927	0.754831	0.761026
f1score	0.644539	0.616638	0.652224	0.631585	0.690086	0.689419	0.668122	0.664684	0.641243	0.683795	0.659615	0.629385	0.694108	0.676983	0.681851	0.660098	0.672699	0.637779	0.654651	0.674703
mcc	0.346683	0.326978	0.362791	0.339494	0.412283	0.403494	0.382966	0.371579	0.341242	0.404731	0.363307	0.327882	0.412561	0.388243	0.392873	0.376098	0.389733	0.333487	0.358486	0.387512
spd0-0	0.059118	0.043733	0.071942	0.051747	0.077346	0.082423	0.066308	0.068315	0.051906	0.072105	0.065566	0.043941	0.086012	0.080107	0.085701	0.054397	0.080407	0.053563	0.061468	0.068402
spd0-1	0.075479	0.055131	0.072610	0.058968	0.107228	0.114878	0.089033	0.100484	0.080364	0.102254	0.082893	0.077959	0.110265	0.100570	0.112631	0.074489	0.087042	0.071600	0.088783	0.096840
spd0	0.016361	0.011398	0.000667	0.007221	0.029882	0.032456	0.022725	0.032170	0.028458	0.030150	0.017327	0.034018	0.024253	0.020463	0.026929	0.020092	0.006635	0.018037	0.027315	0.028438
aod0-0	0.314794	0.248655	0.363551	0.280195	0.398658	0.426223	0.336918	0.358668	0.268301	0.382649	0.353314	0.245506	0.430272	0.404616	0.414555	0.349476	0.402811	0.284922	0.312962	0.387869
aod0-1	0.278319	0.208951	0.271403	0.233659	0.395681	0.407707	0.337608	0.343298	0.296406	0.374277	0.310306	0.272022	0.410389	0.359026	0.390041	0.285538	0.324480	0.271943	0.321696	0.346234
aod0	0.018237	0.019852	0.046074	0.023268	0.001488	0.009258	0.000345	0.007685	0.014053	0.004186	0.021504	0.013258	0.009942	0.022795	0.012257	0.031969	0.039165	0.006489	0.004367	0.020817
eod0-0	0.287823	0.232143	0.328571	0.257951	0.363958	0.387681	0.304659	0.327338	0.244604	0.349265	0.321970	0.227758	0.386861	0.369637	0.371528	0.327660	0.363636	0.258687	0.283088	0.357414
eod0-1	0.248077	0.191011	0.248629	0.214141	0.353053	0.356322	0.306358	0.300181	0.263056	0.335835	0.276210	0.238185	0.366472	0.314342	0.343013	0.257426	0.295290	0.242972	0.285981	0.305609
eod0	0.039746	0.041132	0.079943	0.043809	0.010904	0.031359	0.001699	0.027157	0.018452	0.013430	0.045760	0.010427	0.020390	0.055295	0.028515	0.070234	0.068347	0.015715	0.002893	0.051805
spd1-0	0.061392	0.040317	0.059299	0.047963	0.077424	0.088315	0.067295	0.071099	0.059140	0.076467	0.067017	0.052279	0.080135	0.077696	0.076197	0.048701	0.076146	0.056653	0.072703	0.070223
spd1-1	0.070745	0.054232	0.078285	0.059101	0.101074	0.104921	0.083307	0.092023	0.070918	0.093534	0.078277	0.066023	0.107520	0.096885	0.110870	0.073032	0.087605	0.066248	0.077743	0.089075
spd1	0.009353	0.013915	0.018986	0.011138	0.023650	0.016606	0.016013	0.020923	0.011778	0.017068	0.011260	0.013744	0.027386	0.019189	0.034673	0.024331	0.011459	0.009595	0.005040	0.018852
aod1-0	0.301451	0.245644	0.309018	0.236640	0.393073	0.449767	0.370901	0.363104	0.299434	0.406290	0.336930	0.277516	0.414371	0.377910	0.361897	0.275483	0.389093	0.301671	0.346983	0.406239
aod1-1	0.286674	0.216293	0.303782	0.255671	0.396459	0.400886	0.328050	0.342245	0.280866	0.367361	0.320759	0.255537	0.419603	0.374181	0.409938	0.314896	0.340415	0.267969	0.307493	0.346032
aod1	0.007389	0.014675	0.002618	0.009515	0.001693	0.024440	0.021425	0.010430	0.009284	0.019464	0.008085	0.010990	0.002616	0.001865	0.024021	0.019707	0.024339	0.016851	0.019745	0.030104
eod1-0	0.274510	0.232804	0.282723	0.213930	0.354497	0.412060	0.343915	0.329897	0.270270	0.373057	0.307317	0.255208	0.379487	0.340102	0.323077	0.254144	0.357843	0.274725	0.312500	0.377143
eod1-1	0.257240	0.196800	0.273585	0.235702	0.357605	0.352254	0.293924	0.302983	0.252459	0.330065	0.286486	0.228155	0.371622	0.333333	0.361801	0.288014	0.304976	0.240000	0.275459	0.307438
eod1	0.017270	0.036004	0.009138	0.021772	0.003108	0.059807	0.049991	0.026914	0.017811	0.042992	0.020831	0.027053	0.007866	0.006768	0.038724	0.033871	0.052867	0.034725	0.037041	0.069705
wcspd-00	0.049133	0.036443	0.048227	0.042918	0.058480	0.065282	0.059970	0.051429	0.051005	0.058824	0.049062	0.031519	0.059435	0.060432	0.060432	0.039381	0.062500	0.046154	0.054572	0.050215
wcspd-01	0.063703	0.046997	0.082949	0.055698	0.085943	0.090013	0.069010	0.076066	0.052288	0.078405	0.072950	0.049518	0.097656	0.088918	0.097240	0.061538	0.088196	0.057124	0.064581	0.076482
wcspd-10	0.072351	0.043531	0.069320	0.052248	0.092614	0.107769	0.073260	0.087912	0.065398	0.092154	0.082027	0.070529	0.097291	0.092732	0.090102	0.056695	0.086957	0.066002	0.087425	0.088010
wcspd-11	0.076879	0.060917	0.074118	0.062384	0.114715	0.118198	0.096852	0.106691	0.087834	0.107079	0.083333	0.081522	0.116528	0.104343	0.123086	0.083333	0.087084	0.074249	0.089455	0.101028
wcspd	0.027746	0.024474	0.034722	0.019466	0.056235	0.052916	0.036882	0.055262	0.036829	0.048256	0.034271	0.050003	0.057093	0.043911	0.062654	0.043952	0.025696	0.028095	0.034883	0.050813
wcaod-00	0.277645	0.296950	0.304386	0.250093	0.383778	0.432243	0.357047	0.346699	0.295692	0.393963	0.362828	0.256891	0.399990	0.362226	0.363552	0.309949	0.374619	0.291805	0.302894	0.400650
wcaod-01	0.329243	0.235601	0.386549	0.291874	0.404016	0.425749	0.330574	0.363699	0.259026	0.380032	0.352064	0.243701	0.442836	0.418802	0.434992	0.363262	0.413903	0.282986	0.317108	0.386229
